type,method,metric,score
full_annotated_supervised,ItClust,truepos_rate,0.552636158
randomly_missing_30,scDREAMER,truepos_rate,0.578388725
randomly_missing_30,ItClust,truepos_rate,0.713589699
randomly_missing_50,scDREAMER,truepos_rate,0.572472594
randomly_missing_50,ItClust,truepos_rate,0.784757265
randomly_missing_70,scDREAMER,truepos_rate,0.601705238
randomly_missing_70,ItClust,truepos_rate,0.652688359
full_annotated_supervised,scDREAMER,lisi_b,0.347458604
full_annotated_supervised,ItClust,lisi_b,0.368578117
randomly_missing_30,scDREAMER,lisi_b,0.36374921
randomly_missing_30,ItClust,lisi_b,0.479942741
randomly_missing_50,scDREAMER,lisi_b,0.365586607
randomly_missing_50,ItClust,lisi_b,0.493723019
randomly_missing_70,scDREAMER,lisi_b,0.367913509
randomly_missing_70,ItClust,lisi_b,0.466148538
full_annotated_supervised,scDREAMER,lisi_c,0.997497409
full_annotated_supervised,ItClust,lisi_c,0.999757575
randomly_missing_30,scDREAMER,lisi_c,0.995918513
randomly_missing_30,ItClust,lisi_c,0.958804417
randomly_missing_50,scDREAMER,lisi_c,0.995347835
randomly_missing_50,ItClust,lisi_c,0.910041516
randomly_missing_70,scDREAMER,lisi_c,0.994315383
randomly_missing_70,ItClust,lisi_c,0.908283881
full_annotated_supervised,scDREAMER,lisi_f1,0.515390918
full_annotated_supervised,ItClust,lisi_f1,0.538594098
randomly_missing_30,scDREAMER,lisi_f1,0.53287221
randomly_missing_30,ItClust,lisi_f1,0.639683237
randomly_missing_50,scDREAMER,lisi_f1,0.534758805
randomly_missing_50,ItClust,lisi_f1,0.640147879
randomly_missing_70,scDREAMER,lisi_f1,0.537093382
randomly_missing_70,ItClust,lisi_f1,0.616101886
full_annotated_supervised,scDREAMER,kBET,0.377254407
full_annotated_supervised,ItClust,kBET,0.406853159
randomly_missing_30,scDREAMER,kBET,0.390181011
randomly_missing_30,ItClust,kBET,0.589834237
randomly_missing_50,scDREAMER,kBET,0.390233985
randomly_missing_50,ItClust,kBET,0.651732282
randomly_missing_70,scDREAMER,kBET,0.430288977
randomly_missing_70,ItClust,kBET,0.57895481
unsupervised,scVI,pos_rate,0.990604
unsupervised,Harmony,pos_rate,0.99478
unsupervised,scCRAFT,pos_rate,0.995824
unsupervised,Seurat,pos_rate,0.995128
unsupervised,scVI,truepos_rate,0.53106
unsupervised,Harmony,truepos_rate,0.228119
unsupervised,scCRAFT,truepos_rate,0.384026
unsupervised,Seurat,truepos_rate,0.268836
unsupervised,scVI,kBET,0.328251
unsupervised,Harmony,kBET,0.120975
unsupervised,scCRAFT,kBET,0.45629
unsupervised,Seurat,kBET,0.194246
unsupervised,scVI,lisi_c,0.967811
unsupervised,Harmony,lisi_c,0.993725
unsupervised,scCRAFT,lisi_c,0.995558
unsupervised,Seurat,lisi_c,0.996589
unsupervised,scVI,lisi_b,0.265205
unsupervised,Harmony,lisi_b,0.213064
unsupervised,scCRAFT,lisi_b,0.403828
unsupervised,Seurat,lisi_b,0.300363
unsupervised,scVI,lisi_f1,0.416326
unsupervised,Harmony,lisi_f1,0.350894
unsupervised,scCRAFT,lisi_f1,0.574586
unsupervised,Seurat,lisi_f1,0.461603
unsupervised,scanorama,NMI_cluster/label,0.964939
unsupervised,scanorama,ARI_cluster/label,0.982933
unsupervised,scanorama,ASW_label,0.680228
unsupervised,scanorama,ASW_label/batch,0.902023
unsupervised,scanorama,isolated_label_F1,0.991583
unsupervised,scanorama,isolated_label_silhouette,0.675281
unsupervised,scanorama,graph_conn,1
unsupervised,scanorama,lisi_c,0.995
unsupervised,scanorama,lisi_b,0.113
unsupervised,scanorama,lisi_f1,0.202
unsupervised,scanorama,kBET,0.040616
unsupervised,scanorama,pos_rate,0.995998
unsupervised,scanorama,truepos_rate,0.046285
partially_annotated_batches_1,scANVI,NMI_cluster/label,0.94732693
partially_annotated_batches_1,scANVI,ARI_cluster/label,0.97222907
partially_annotated_batches_1,scANVI,ASW_label,0.58357265
partially_annotated_batches_1,scANVI,ASW_label/batch,0.95728182
partially_annotated_batches_1,scANVI,graph_conn,1
partially_annotated_batches_1,scGEN,NMI_cluster/label,0.804799811
partially_annotated_batches_1,scGEN,ARI_cluster/label,0.774409546
partially_annotated_batches_1,scGEN,ASW_label,0.64499765
partially_annotated_batches_1,scGEN,ASW_label/batch,0.905148052
partially_annotated_batches_1,scGEN,graph_conn,1
partially_annotated_batches_1,scDREAMER,NMI_cluster/label,0.783902807
partially_annotated_batches_1,scDREAMER,ARI_cluster/label,0.76204387
partially_annotated_batches_1,scDREAMER,ASW_label,0.693441278
partially_annotated_batches_1,scDREAMER,ASW_label/batch,0.878734274
partially_annotated_batches_1,scDREAMER,graph_conn,0.999775835
partially_annotated_batches_1,ItClust,NMI_cluster/label,0.637220503
partially_annotated_batches_1,ItClust,ARI_cluster/label,0.534977386
partially_annotated_batches_1,ItClust,ASW_label,0.791981144
