type,method,metric,score
full_annotated_supervised,scANVI,pos_rate,0.962331407
full_annotated_supervised,scGEN,pos_rate,0.947928709
full_annotated_supervised,STACAS,pos_rate,0.930539499
CellAssign,scANVI,pos_rate,0.923025048
CellAssign,scGEN,pos_rate,0.934296724
CellAssign,STACAS,pos_rate,0.92938343
Azimuth,scANVI,pos_rate,0.930539499
Azimuth,scGEN,pos_rate,0.927360308
Azimuth,STACAS,pos_rate,0.929913295
singleR,scANVI,pos_rate,0.918304432
singleR,scGEN,pos_rate,0.92504817
singleR,STACAS,pos_rate,0.930298651
mixing_at_edge_30,scANVI,pos_rate,0.937861272
mixing_at_edge_30,scGEN,pos_rate,0.935211946
mixing_at_edge_30,STACAS,pos_rate,0.929576108
mixing_at_edge_50,scANVI,pos_rate,0.944749518
mixing_at_edge_50,scGEN,pos_rate,0.937379576
mixing_at_edge_50,STACAS,pos_rate,0.929672447
mixing_at_edge_70,scANVI,pos_rate,0.951493256
mixing_at_edge_70,scGEN,pos_rate,0.940366089
mixing_at_edge_70,STACAS,pos_rate,0.929913295
randomly_missing_30,scANVI,pos_rate,0.959393064
randomly_missing_30,scGEN,pos_rate,0.945134875
randomly_missing_30,STACAS,pos_rate,0.930732177
randomly_missing_50,scANVI,pos_rate,0.955924855
randomly_missing_50,scGEN,pos_rate,0.939932563
randomly_missing_50,STACAS,pos_rate,0.929094412
randomly_missing_70,scANVI,pos_rate,0.953564547
randomly_missing_70,scGEN,pos_rate,0.937909441
randomly_missing_70,STACAS,pos_rate,0.927890173
full_annotated_supervised,scANVI,truepos_rate,0.22283237
full_annotated_supervised,scGEN,truepos_rate,0.333236994
full_annotated_supervised,STACAS,truepos_rate,0.154431599
CellAssign,scANVI,truepos_rate,0.208381503
CellAssign,scGEN,truepos_rate,0.135211946
CellAssign,STACAS,truepos_rate,0.151252408
Azimuth,scANVI,truepos_rate,0.193545279
Azimuth,scGEN,truepos_rate,0.192148362
Azimuth,STACAS,truepos_rate,0.150337187
singleR,scANVI,truepos_rate,0.23044316
singleR,scGEN,truepos_rate,0.163246628
singleR,STACAS,truepos_rate,0.149229287
mixing_at_edge_30,scANVI,truepos_rate,0.219894027
mixing_at_edge_30,scGEN,truepos_rate,0.337524085
mixing_at_edge_30,STACAS,truepos_rate,0.154720617
