type,metric,method,score
randomly_missing_70,NMI_cluster/label,scANVI,0.83748
randomly_missing_70,ARI_cluster/label,scANVI,0.852276
randomly_missing_70,ASW_label,scANVI,0.635387
randomly_missing_70,ASW_label/batch,scANVI,0.875099
randomly_missing_70,isolated_label_F1,scANVI,0.878982
randomly_missing_70,isolated_label_silhouette,scANVI,0.688446
randomly_missing_70,graph_conn,scANVI,0.988974
randomly_missing_70,NMI_cluster/label,scGEN,0.730972
randomly_missing_70,ARI_cluster/label,scGEN,0.530081
randomly_missing_70,ASW_label,scGEN,0.544347
randomly_missing_70,ASW_label/batch,scGEN,0.919651
randomly_missing_70,isolated_label_F1,scGEN,0.648063
randomly_missing_70,isolated_label_silhouette,scGEN,0.585497
randomly_missing_70,graph_conn,scGEN,0.937938
randomly_missing_70,NMI_cluster/label,STACAS,0.813232
randomly_missing_70,ARI_cluster/label,STACAS,0.77314
randomly_missing_70,ASW_label,STACAS,0.596145
randomly_missing_70,ASW_label/batch,STACAS,0.898396
randomly_missing_70,isolated_label_F1,STACAS,0.855453
randomly_missing_70,isolated_label_silhouette,STACAS,0.648402
randomly_missing_70,graph_conn,STACAS,0.970132
full_annotated_supervised,lisi_b,scANVI,0.261111291
full_annotated_supervised,lisi_b,scGEN,0.268412099
full_annotated_supervised,lisi_b,STACAS,0.278341343
CellAssign,lisi_b,scANVI,0.265511937
CellAssign,lisi_b,scGEN,0.154215942
CellAssign,lisi_b,STACAS,0.287427387
Azimuth,lisi_b,scANVI,0.269884942
Azimuth,lisi_b,scGEN,0.28438462
Azimuth,lisi_b,STACAS,0.273656897
singleR,lisi_b,scANVI,0.264619449
singleR,lisi_b,scGEN,0.247082149
singleR,lisi_b,STACAS,0.264611478
partially_annotated_batches_70,lisi_b,scANVI,0.261720401
partially_annotated_batches_70,lisi_b,scGEN,0.09692783
partially_annotated_batches_70,lisi_b,STACAS,0.247034878
partially_annotated_batches_50,lisi_b,scANVI,0.258076189
partially_annotated_batches_50,lisi_b,scGEN,0.090132492
partially_annotated_batches_50,lisi_b,STACAS,0.250918854
partially_annotated_batches_30,lisi_b,scANVI,0.249912995
partially_annotated_batches_30,lisi_b,scGEN,0.135599403
partially_annotated_batches_30,lisi_b,STACAS,0.255554957
mixing_at_edge_30,lisi_b,scANVI,0.272095768
mixing_at_edge_30,lisi_b,scGEN,0.288701338
mixing_at_edge_30,lisi_b,STACAS,0.282792579
mixing_at_edge_50,lisi_b,scANVI,0.268576775
mixing_at_edge_50,lisi_b,scGEN,0.255321632
mixing_at_edge_50,lisi_b,STACAS,0.283134586
mixing_at_edge_70,lisi_b,scANVI,0.271518022
mixing_at_edge_70,lisi_b,scGEN,0.296835644
mixing_at_edge_70,lisi_b,STACAS,0.282155849
randomly_missing_30,lisi_b,scANVI,0.261730221
randomly_missing_30,lisi_b,scGEN,0.274204605
randomly_missing_30,lisi_b,STACAS,0.267821083
randomly_missing_50,lisi_b,scANVI,0.259402636
randomly_missing_50,lisi_b,scGEN,0.217466668
randomly_missing_50,lisi_b,STACAS,0.257014964
randomly_missing_70,lisi_b,scANVI,0.266947536
randomly_missing_70,lisi_b,scGEN,0.208959483
randomly_missing_70,lisi_b,STACAS,0.270192671
unsupervised,lisi_b,scVI,0.285529
unsupervised,lisi_b,Harmony,0.199032
unsupervised,lisi_b,scCRAFT,0.328228
unsupervised,lisi_b,Seurat,0.344281
full_annotated_supervised,kBET,scANVI,0.235205388
full_annotated_supervised,kBET,scGEN,0.452045202
full_annotated_supervised,kBET,STACAS,0.28854728
CellAssign,kBET,scANVI,0.225182393
CellAssign,kBET,scGEN,0.140565507
CellAssign,kBET,STACAS,0.288945682
Azimuth,kBET,scANVI,0.249510147
Azimuth,kBET,scGEN,0.40221725
Azimuth,kBET,STACAS,0.286252965
singleR,kBET,scANVI,0.269493
singleR,kBET,scGEN,0.237959
singleR,kBET,STACAS,0.290927
partially_annotated_batches_70,kBET,scANVI,0.217943223
partially_annotated_batches_70,kBET,scGEN,0.014333247
partially_annotated_batches_70,kBET,STACAS,0.29607718
partially_annotated_batches_50,kBET,scANVI,0.214903362
partially_annotated_batches_50,kBET,scGEN,0.038319253
partially_annotated_batches_50,kBET,STACAS,0.291306342
partially_annotated_batches_30,kBET,scANVI,0.212368443
partially_annotated_batches_30,kBET,scGEN,0.133570729
partially_annotated_batches_30,kBET,STACAS,0.262200734
mixing_at_edge_30,kBET,scANVI,0.255010971
mixing_at_edge_30,kBET,scGEN,0.423786752
mixing_at_edge_30,kBET,STACAS,0.283267334
mixing_at_edge_50,kBET,scANVI,0.250761892
mixing_at_edge_50,kBET,scGEN,0.429653189
mixing_at_edge_50,kBET,STACAS,0.290011931
mixing_at_edge_70,kBET,scANVI,0.24598979
mixing_at_edge_70,kBET,scGEN,0.439712828
mixing_at_edge_70,kBET,STACAS,0.290681013
randomly_missing_30,kBET,scANVI,0.221310305
randomly_missing_30,kBET,scGEN,0.410551476
randomly_missing_30,kBET,STACAS,0.286874106
randomly_missing_50,kBET,scANVI,0.218014536
randomly_missing_50,kBET,scGEN,0.32944881
randomly_missing_50,kBET,STACAS,0.290171907
randomly_missing_70,kBET,scANVI,0.231127138
randomly_missing_70,kBET,scGEN,0.249009046
