type,metric,method,score
partially_annotated_batches_70,truepos_rate,scANVI,0.118544744
partially_annotated_batches_70,truepos_rate,scGEN,0.015748993
partially_annotated_batches_70,truepos_rate,STACAS,0.075753876
partially_annotated_batches_50,truepos_rate,scANVI,0.118972042
partially_annotated_batches_50,truepos_rate,scGEN,0.013734587
partially_annotated_batches_50,truepos_rate,STACAS,0.066353315
partially_annotated_batches_30,truepos_rate,scANVI,0.140092785
partially_annotated_batches_30,truepos_rate,scGEN,0.016725675
partially_annotated_batches_30,truepos_rate,STACAS,0.072518618
mixing_at_edge_30,truepos_rate,scANVI,0.143572213
mixing_at_edge_30,truepos_rate,scGEN,0.139116103
mixing_at_edge_30,truepos_rate,STACAS,0.06531559
mixing_at_edge_50,truepos_rate,scANVI,0.154010499
mixing_at_edge_50,truepos_rate,scGEN,0.15285069
mixing_at_edge_50,truepos_rate,STACAS,0.063789525
mixing_at_edge_70,truepos_rate,scANVI,0.153644244
mixing_at_edge_70,truepos_rate,scGEN,0.151080454
mixing_at_edge_70,truepos_rate,STACAS,0.064460994
randomly_missing_30,truepos_rate,scANVI,0.149554389
randomly_missing_30,truepos_rate,scGEN,0.165669637
randomly_missing_30,truepos_rate,STACAS,0.069588573
randomly_missing_50,truepos_rate,scANVI,0.143938469
randomly_missing_50,truepos_rate,scGEN,0.138322549
randomly_missing_50,truepos_rate,STACAS,0.066109144
randomly_missing_70,truepos_rate,scANVI,0.149371261
randomly_missing_70,truepos_rate,scGEN,0.125747772
randomly_missing_70,truepos_rate,STACAS,0.068550848
unsupervised,truepos_rate,scVI,0.148455622
unsupervised,truepos_rate,Harmony,0.119887682
unsupervised,truepos_rate,scCRAFT,0.581980222
unsupervised,truepos_rate,Seurat,0.095348553
full_annotated_supervised,kBET,scANVI,0.518914187
full_annotated_supervised,kBET,scGEN,0.488514372
full_annotated_supervised,kBET,STACAS,0.549857236
CellAssign,kBET,scANVI,0.504718821
CellAssign,kBET,scGEN,0.424229287
CellAssign,kBET,STACAS,0.473883651
Azimuth,kBET,scANVI,0.51946837
Azimuth,kBET,scGEN,0.467327349
Azimuth,kBET,STACAS,0.495822761
partially_annotated_batches_70,kBET,scANVI,0.502665612
partially_annotated_batches_70,kBET,scGEN,0.317486144
partially_annotated_batches_70,kBET,STACAS,0.485251237
partially_annotated_batches_50,kBET,scANVI,0.510738371
partially_annotated_batches_50,kBET,scGEN,0.269960331
partially_annotated_batches_50,kBET,STACAS,0.487999785
partially_annotated_batches_30,kBET,scANVI,0.521863313
partially_annotated_batches_30,kBET,scGEN,0.34796017
partially_annotated_batches_30,kBET,STACAS,0.471596081
mixing_at_edge_30,kBET,scANVI,0.521642242
mixing_at_edge_30,kBET,scGEN,0.383824898
mixing_at_edge_30,kBET,STACAS,0.477125091
mixing_at_edge_50,kBET,scANVI,0.531312009
mixing_at_edge_50,kBET,scGEN,0.556372908
mixing_at_edge_50,kBET,STACAS,0.475007698
mixing_at_edge_70,kBET,scANVI,0.450436747
mixing_at_edge_70,kBET,scGEN,0.398632229
mixing_at_edge_70,kBET,STACAS,0.476496244
randomly_missing_30,kBET,scANVI,0.524436909
randomly_missing_30,kBET,scGEN,0.493630235
randomly_missing_30,kBET,STACAS,0.475989448
randomly_missing_50,kBET,scANVI,0.527972137
randomly_missing_50,kBET,scGEN,0.448561015
randomly_missing_50,kBET,STACAS,0.474930292
randomly_missing_70,kBET,scANVI,0.522614083
randomly_missing_70,kBET,scGEN,0.345759985
randomly_missing_70,kBET,STACAS,0.485585139
unsupervised,kBET,scVI,0.5119658
unsupervised,kBET,Harmony,0.41682015
unsupervised,kBET,scCRAFT,0.53437725
unsupervised,kBET,Seurat,0.698247493
full_annotated_supervised,lisi_b,scANVI,0.279933603
full_annotated_supervised,lisi_b,scGEN,0.270064225
full_annotated_supervised,lisi_b,STACAS,0.262016502
CellAssign,lisi_b,scANVI,0.260124667
CellAssign,lisi_b,scGEN,0.114038229
CellAssign,lisi_b,STACAS,0.226844562
