type,metric,method,score
partially_annotated_batches_50,NMI_cluster/label,STACAS,0.737278
partially_annotated_batches_50,ARI_cluster/label,STACAS,0.639913
partially_annotated_batches_50,ASW_label,STACAS,0.581366
partially_annotated_batches_50,ASW_label/batch,STACAS,0.83635
partially_annotated_batches_50,isolated_label_F1,STACAS,0.815081
partially_annotated_batches_50,isolated_label_silhouette,STACAS,0.598579
partially_annotated_batches_50,graph_conn,STACAS,0.955981
partially_annotated_batches_30,NMI_cluster/label,scANVI,0.855034
partially_annotated_batches_30,ARI_cluster/label,scANVI,0.722368
partially_annotated_batches_30,ASW_label,scANVI,0.656926
partially_annotated_batches_30,ASW_label/batch,scANVI,0.878524
partially_annotated_batches_30,isolated_label_F1,scANVI,0.963816
partially_annotated_batches_30,isolated_label_silhouette,scANVI,0.761102
partially_annotated_batches_30,graph_conn,scANVI,0.99346
partially_annotated_batches_30,NMI_cluster/label,scGEN,0.812626
partially_annotated_batches_30,ARI_cluster/label,scGEN,0.624754
partially_annotated_batches_30,ASW_label,scGEN,0.584856
partially_annotated_batches_30,ASW_label/batch,scGEN,0.814558
partially_annotated_batches_30,isolated_label_F1,scGEN,0.868571
partially_annotated_batches_30,isolated_label_silhouette,scGEN,0.609441
partially_annotated_batches_30,graph_conn,scGEN,0.888283
partially_annotated_batches_30,NMI_cluster/label,STACAS,0.754086
partially_annotated_batches_30,ARI_cluster/label,STACAS,0.6112
partially_annotated_batches_30,ASW_label,STACAS,0.592462
partially_annotated_batches_30,ASW_label/batch,STACAS,0.852401
partially_annotated_batches_30,isolated_label_F1,STACAS,0.844291
partially_annotated_batches_30,isolated_label_silhouette,STACAS,0.617723
partially_annotated_batches_30,graph_conn,STACAS,0.969075
randomly_missing_30,NMI_cluster/label,scANVI,0.875815
randomly_missing_30,ARI_cluster/label,scANVI,0.830096
randomly_missing_30,ASW_label,scANVI,0.646646
randomly_missing_30,ASW_label/batch,scANVI,0.873499
randomly_missing_30,isolated_label_F1,scANVI,0.96828
randomly_missing_30,isolated_label_silhouette,scANVI,0.770398
randomly_missing_30,graph_conn,scANVI,0.991
randomly_missing_30,NMI_cluster/label,scGEN,0.828569
randomly_missing_30,ARI_cluster/label,scGEN,0.785075
randomly_missing_30,ASW_label,scGEN,0.585793
randomly_missing_30,ASW_label/batch,scGEN,0.799628
randomly_missing_30,isolated_label_F1,scGEN,0.830709
randomly_missing_30,isolated_label_silhouette,scGEN,0.599801
randomly_missing_30,graph_conn,scGEN,0.955896
randomly_missing_30,NMI_cluster/label,STACAS,0.750518
randomly_missing_30,ARI_cluster/label,STACAS,0.638811
randomly_missing_30,ASW_label,STACAS,0.594809
randomly_missing_30,ASW_label/batch,STACAS,0.848874
randomly_missing_30,isolated_label_F1,STACAS,0.834621
randomly_missing_30,isolated_label_silhouette,STACAS,0.621213
randomly_missing_30,graph_conn,STACAS,0.970563
randomly_missing_50,NMI_cluster/label,scANVI,0.851826
randomly_missing_50,ARI_cluster/label,scANVI,0.801957
randomly_missing_50,ASW_label,scANVI,0.645392
randomly_missing_50,ASW_label/batch,scANVI,0.8686
randomly_missing_50,isolated_label_F1,scANVI,0.903752
randomly_missing_50,isolated_label_silhouette,scANVI,0.715138
randomly_missing_50,graph_conn,scANVI,0.990808
randomly_missing_50,NMI_cluster/label,scGEN,0.738477
randomly_missing_50,ARI_cluster/label,scGEN,0.634294
randomly_missing_50,ASW_label,scGEN,0.55916
randomly_missing_50,ASW_label/batch,scGEN,0.868236
randomly_missing_50,isolated_label_F1,scGEN,0.715528
randomly_missing_50,isolated_label_silhouette,scGEN,0.571057
randomly_missing_50,graph_conn,scGEN,0.951595
randomly_missing_50,NMI_cluster/label,STACAS,0.751288
randomly_missing_50,ARI_cluster/label,STACAS,0.597219
randomly_missing_50,ASW_label,STACAS,0.584224
randomly_missing_50,ASW_label/batch,STACAS,0.84785
randomly_missing_50,isolated_label_F1,STACAS,0.680905
randomly_missing_50,isolated_label_silhouette,STACAS,0.592323
randomly_missing_50,graph_conn,STACAS,0.957764
randomly_missing_70,NMI_cluster/label,scANVI,0.850726
randomly_missing_70,ARI_cluster/label,scANVI,0.795981
randomly_missing_70,ASW_label,scANVI,0.639169
randomly_missing_70,ASW_label/batch,scANVI,0.868926
randomly_missing_70,isolated_label_F1,scANVI,0.923077
randomly_missing_70,isolated_label_silhouette,scANVI,0.762303
randomly_missing_70,graph_conn,scANVI,0.990991
randomly_missing_70,NMI_cluster/label,scGEN,0.745962
randomly_missing_70,ARI_cluster/label,scGEN,0.665624
randomly_missing_70,ASW_label,scGEN,0.55741
randomly_missing_70,ASW_label/batch,scGEN,0.863704
randomly_missing_70,isolated_label_F1,scGEN,0.582317
randomly_missing_70,isolated_label_silhouette,scGEN,0.55945
randomly_missing_70,graph_conn,scGEN,0.915824
randomly_missing_70,NMI_cluster/label,STACAS,0.744235
randomly_missing_70,ARI_cluster/label,STACAS,0.648116
randomly_missing_70,ASW_label,STACAS,0.585988
randomly_missing_70,ASW_label/batch,STACAS,0.847496
randomly_missing_70,isolated_label_F1,STACAS,0.707097
randomly_missing_70,isolated_label_silhouette,STACAS,0.601902
randomly_missing_70,graph_conn,STACAS,0.958639
full_annotated_supervised,lisi_b,scANVI,0.14212597
full_annotated_supervised,lisi_b,scGEN,0.17394213
full_annotated_supervised,lisi_b,STACAS,0.16491881
CellAssign,lisi_b,scANVI,0.140255
CellAssign,lisi_b,scGEN,0.088406
CellAssign,lisi_b,STACAS,0.16399481
Azimuth,lisi_b,scANVI,0.13960789
Azimuth,lisi_b,scGEN,0.16274192
Azimuth,lisi_b,STACAS,0.16622689
singleR,lisi_b,scANVI,0.15624622
singleR,lisi_b,scGEN,0.12437881
singleR,lisi_b,STACAS,0.16006564
partially_annotated_batches_70,lisi_b,scANVI,0.14666182
partially_annotated_batches_70,lisi_b,scGEN,0.04896065
partially_annotated_batches_70,lisi_b,STACAS,0.16451845
partially_annotated_batches_50,lisi_b,scANVI,0.14772087
partially_annotated_batches_50,lisi_b,scGEN,0.0647088
partially_annotated_batches_50,lisi_b,STACAS,0.15408895
partially_annotated_batches_30,lisi_b,scANVI,0.14032576
partially_annotated_batches_30,lisi_b,scGEN,0.09562657
partially_annotated_batches_30,lisi_b,STACAS,0.15592489
mixing_at_edge_30,lisi_b,scANVI,0.15415277
mixing_at_edge_30,lisi_b,scGEN,0.16710517
mixing_at_edge_30,lisi_b,STACAS,0.16761797
mixing_at_edge_50,lisi_b,scANVI,0.15392713
