file_path,embedding_key,metric,score
unsupervised,scVI,pos_rate,0.97515
unsupervised,Harmony,pos_rate,0.980727
unsupervised,scCRAFT,pos_rate,0.978978
unsupervised,Seurat,pos_rate,0.965712
unsupervised,scVI,truepos_rate,0.404825
unsupervised,Harmony,truepos_rate,0.539304
unsupervised,scCRAFT,truepos_rate,0.733219
unsupervised,Seurat,truepos_rate,0.044783
unsupervised,scVI,NMI_cluster/label,0.948758
unsupervised,scVI,ARI_cluster/label,0.965796
unsupervised,scVI,ASW_label,0.544716
unsupervised,scVI,ASW_label/batch,0.933489
unsupervised,scVI,isolated_label_F1,0.809365
unsupervised,scVI,isolated_label_silhouette,0.552566
unsupervised,scVI,graph_conn,0.989228
unsupervised,Harmony,NMI_cluster/label,0.950354
unsupervised,Harmony,ARI_cluster/label,0.963835
unsupervised,Harmony,ASW_label,0.581351
unsupervised,Harmony,ASW_label/batch,0.935686
unsupervised,Harmony,isolated_label_F1,0.133878
unsupervised,Harmony,isolated_label_silhouette,0.521229
unsupervised,Harmony,graph_conn,0.986072
unsupervised,scCRAFT,NMI_cluster/label,0.948358
unsupervised,scCRAFT,ARI_cluster/label,0.966228
unsupervised,scCRAFT,ASW_label,0.731881
unsupervised,scCRAFT,ASW_label/batch,0.933887
unsupervised,scCRAFT,isolated_label_F1,0.216
unsupervised,scCRAFT,isolated_label_silhouette,0.481771
unsupervised,scCRAFT,graph_conn,0.974881
unsupervised,Seurat,NMI_cluster/label,0.901509
unsupervised,Seurat,ARI_cluster/label,0.914907
unsupervised,Seurat,ASW_label,0.674725
unsupervised,Seurat,ASW_label/batch,0.721677
unsupervised,Seurat,isolated_label_F1,0.184295
unsupervised,Seurat,isolated_label_silhouette,0.518851
unsupervised,Seurat,graph_conn,0.988149
full_annotated_supervised,scANVI,lisi_c,0.998435909
full_annotated_supervised,scGEN,lisi_c,0.996773867
full_annotated_supervised,STACAS,lisi_c,0.998514355
partially_annotated_batches_70,scANVI,lisi_c,0.998306821
partially_annotated_batches_70,scGEN,lisi_c,0.990360788
partially_annotated_batches_70,STACAS,lisi_c,0.998149776
partially_annotated_batches_50,scANVI,lisi_c,0.998644159
partially_annotated_batches_50,scGEN,lisi_c,0.992565272
partially_annotated_batches_50,STACAS,lisi_c,0.99830977
partially_annotated_batches_30,scANVI,lisi_c,0.998370442
partially_annotated_batches_30,scGEN,lisi_c,0.993730877
partially_annotated_batches_30,STACAS,lisi_c,0.99841384
mixing_at_edge_30,scANVI,lisi_c,0.997884768
mixing_at_edge_30,scGEN,lisi_c,0.996608416
mixing_at_edge_30,STACAS,lisi_c,0.998328324
mixing_at_edge_50,scANVI,lisi_c,0.997981506
mixing_at_edge_50,scGEN,lisi_c,0.995309905
mixing_at_edge_50,STACAS,lisi_c,0.998311191
